launch_id,name,model,operator,object_id
1,BADR 3 (Arabsat 3A),Spacebus-3000B2,Arabsat,1
2,Astra 1C,HS-601,SES S.A.,2
3,BulgariaSat-1,LS-1300,BulgariaSat,3
4,Eutelsat Konnect VHTS,Spacebus NEO,Eutelsat Communications S.A.,4
5,Telecom 2C,Eurostar-2000,France Telecom,5
6,Rascom 1 (Rascom-QAF 1),Spacebus-4000B3,RascomStar-QAF,6
7,Rascom 1R (RASCOM-QAF 1R),Spacebus-4000B3,RascomStar-QAF,7
8,Eutelsat 3B (E3B),Eurostar-3000,Eutelsat Communications S.A.,8
9,"Eutelsat 4B (E4B, Eutelsat 25A, E25A, Eurobird 2, HotBird 5)",Eurostar-2000+,Eutelsat Communications S.A.,9
10,"Eutelsat 4A (E4A, Eurobird 4A, RESSAT, Eutelsat W1)",Spacebus-3000B2,Eutelsat Communications S.A.,10
11,Astra 4A (Sirius 4),A2100AX,SES S.A.,11
12,"SES 5 (Sirius 5, Astra 4B)",LS-1300,SES S.A.,12
13,"Eutelsat 7B (E7B, Eutelsat 3D, E3D, W3D, Eutelsat W3D)",Spacebus-4000C3,Eutelsat Communications S.A.,13
14,Eutelsat 7C,LS-1300,Eutelsat Communications S.A.,14
15,Eutelsat Konnect (BB4A),Spacebus NEO,Eutelsat Communications S.A.,15
16,KA-SAT (KASat),Eurostar-3000,ViaSat Inc,16
17,"Eutelsat 9B (E9B, EDRS-A)",Eurostar-3000,Eutelsat Communications S.A.,17
18,"Eutelsat 10A (E10A, W2A, Eutelsat W2A)",Spacebus-4000C4,Eutelsat Communications S.A.,18
19,"Echostar 21 (EchoStar T2, TerreStar 2)",LS-1300S,EchoStar Corporation,19
20,Eutelsat 10B (E10B),Spacebus NEO,Eutelsat Communications S.A.,20
21,"Inmarsat GX5 (Inmarsat 5F5, I5F5, GX5)",Spacebus-4000B2,Inmarsat plc,21
22,"Eutelsat Hot Bird 13F (Hotbird 13F, HB13F)",Eurostar-Neo,Eutelsat Communications S.A.,22
23,"Eutelsat Hot Bird 13G (Hotbird 13G, HB13G)",Eurostar-Neo,Eutelsat Communications S.A.,23
24,Angosat 1,USP Bus,Angolan National Space Program Management Office (GGPEN),24
25,Eutelsat W3B,Spacebus-4000C3,Eutelsat Communications S.A.,25
26,"Eutelsat 16A (E16A, W3C, Eutelsat W3C)",Spacebus-4000C3,Eutelsat Communications S.A.,26
27,"Eutelsat 16B (E16B, Eurobird 16, Hotbird 4, HB-4, Atlantic Bird 4, AB-4)",Eurostar-2000+,Eutelsat Communications S.A.,27
28,Eutelsat W2,Spacebus-3000B2,Eutelsat Communications S.A.,28
29,"Eutelsat 16C (E16C, Sesat 1, Eutelsat Sesat)",MSS-2500-GSO,Eutelsat Communications S.A.,29
30,Amos 17,BSS-702MP,Spacecom Satellite Communications,30
31,Amos 5,Express-1000,Spacecom Satellite Communications,31
32,Astra 1M,Eurostar-3000,SES S.A.,32
33,Astra 1N,Eurostar-3000,SES S.A.,33
34,Astra 2B,Eurostar-2000+,SES S.A.,34
35,Astra 1L,A2100AXS,SES S.A.,35
36,Astra 1KR,A2100AXS,SES S.A.,36
37,Astra 1G,BSS-601HP,SES S.A.,37
38,Astra 1P (SES 24),Spacebus NEO,SES S.A.,38
39,Arabsat 5C,Eurostar-3000,Arabsat,39
40,AfriStar 1 (Afristar),Eurostar-2000+,Worldspace Satellite Radio,40
41,"Eutelsat 21B (E21B, W6A, Eutelsat W6A)",Spacebus-4000C3,Eutelsat Communications S.A.,41
42,GovSat-1 (SES 16),GEOStar-3,SES S.A.,42
