position,status,name,model,operator,launch_place,launch_data
1 E,retired,BADR 3 (Arabsat 3A),Spacebus-3000B2,Arabsat,2700,26-Feb-1999
2 E,retired,Astra 1C,HS-601,SES S.A.,2790,12-May-1993
2 E,active,BulgariaSat-1,LS-1300,BulgariaSat,3669,23-Jun-2017
3 E,active,Eutelsat Konnect VHTS,Spacebus NEO,Eutelsat Communications S.A.,6396,7-Sep-2022
3 E,deorbited,Telecom 2C,Eurostar-2000,France Telecom,2283,6-Dec-1995
3 E,deorbited,Rascom 1 (Rascom-QAF 1),Spacebus-4000B3,RascomStar-QAF,3160,21-Dec-2007
3 E,active,Rascom 1R (RASCOM-QAF 1R),Spacebus-4000B3,RascomStar-QAF,3050,4-Aug-2010
3 E,active,Eutelsat 3B (E3B),Eurostar-3000,Eutelsat Communications S.A.,5967,27-May-2014
4 E,retired,"Eutelsat 4B (E4B, Eutelsat 25A, E25A, Eurobird 2, HotBird 5)",Eurostar-2000+,Eutelsat Communications S.A.,2995,10-Sep-1998
4 E,retired,"Eutelsat 4A (E4A, Eurobird 4A, RESSAT, Eutelsat W1)",Spacebus-3000B2,Eutelsat Communications S.A.,3250,6-Sep-2000
5 E,active,Astra 4A (Sirius 4),A2100AX,SES S.A.,4600,18-Nov-2007
5 E,active,"SES 5 (Sirius 5, Astra 4B)",LS-1300,SES S.A.,6086,9-Jul-2012
7 E,active,"Eutelsat 7B (E7B, Eutelsat 3D, E3D, W3D, Eutelsat W3D)",Spacebus-4000C3,Eutelsat Communications S.A.,5470,14-May-2013
7 E,active,Eutelsat 7C,LS-1300,Eutelsat Communications S.A.,3400,20-Jun-2019
7 E,active,Eutelsat Konnect (BB4A),Spacebus NEO,Eutelsat Communications S.A.,3619,16-Jan-2020
9 E,active,KA-SAT (KASat),Eurostar-3000,ViaSat Inc,6150,26-Dec-2010
9 E,active,"Eutelsat 9B (E9B, EDRS-A)",Eurostar-3000,Eutelsat Communications S.A.,5175,30-Jan-2016
10 E,retired,"Eutelsat 10A (E10A, W2A, Eutelsat W2A)",Spacebus-4000C4,Eutelsat Communications S.A.,5915,3-Apr-2009
10 E,active,"Echostar 21 (EchoStar T2, TerreStar 2)",LS-1300S,EchoStar Corporation,6900,6-Jun-2017
10 E,active,Eutelsat 10B (E10B),Spacebus NEO,Eutelsat Communications S.A.,5500,23-Nov-2022
11 E,active,"Inmarsat GX5 (Inmarsat 5F5, I5F5, GX5)",Spacebus-4000B2,Inmarsat plc,4007,29-Nov-2019
13 E,active,"Eutelsat Hot Bird 13F (Hotbird 13F, HB13F)",Eurostar-Neo,Eutelsat Communications S.A.,4500,15-Oct-2022
13 E,active,"Eutelsat Hot Bird 13G (Hotbird 13G, HB13G)",Eurostar-Neo,Eutelsat Communications S.A.,4500,3-Nov-2022
14 E,failed,Angosat 1,USP Bus,Angolan National Space Program Management Office (GGPEN),1550,26-Dec-2017
16 E,failed,Eutelsat W3B,Spacebus-4000C3,Eutelsat Communications S.A.,5400,28-Oct-2010
16 E,active,"Eutelsat 16A (E16A, W3C, Eutelsat W3C)",Spacebus-4000C3,Eutelsat Communications S.A.,5400,7-Oct-2011
16 E,retired,"Eutelsat 16B (E16B, Eurobird 16, Hotbird 4, HB-4, Atlantic Bird 4, AB-4)",Eurostar-2000+,Eutelsat Communications S.A.,2885,27-Feb-1998
16 E,deorbited,Eutelsat W2,Spacebus-3000B2,Eutelsat Communications S.A.,2490,5-Oct-1998
